"ID",Status,Supplier,LogP_exp,pH of analysis,smiles
ZINC03223956,Validated,Enamine,5.35,5,CCCCOc1ccc(cc1)C(=O)N(CCN2C(=O)c3ccccc3C2=O)c4cccc(c4)OC
ZINC03232082,Validated,Enamine,5.68,5,COc1cc(ccc1OCc2ccccc2)/C=N\n3cnc4c(c3=O)c5c(s4)CCCC5
ZINC02871160,Validated,ChemBridge,3.25,5,C[C@]12CC[C@@H]3[C@]1(CN([C@]2(C3)C#N)C(=O)c4cccc(c4)[N+](=O)[O-])C
ZINC01126453,Validated,ChemBridge,3.56,5,Cc1ccc(cc1)N2[C@H]3CS(=O)(=O)C[C@H]3N(C2=O)c4cccc(c4)Cl
ZINC03241789,Validated,Enamine,4.34,"7,3",Cc1cc(nc(n1)n2c3c(c(n2)C)[C@H]([C@@H]4C(=O)CC(C=C4N3)(C)C)c5ccco5)C
ZINC12600540,Validated,Enamine,4.39,5,C[C@@H]1CCC[C@@H](N1C(=O)COC(=O)c2ccc3c(c2)S(=O)(=O)c4ccccc4C3=O)C
ZINC03244173,Validated,Enamine,4.98,5,c1ccc(cc1)CC2CCN(CC2)C(=O)COC(=O)C3CCCCC3
ZINC03245216,Validated,Enamine,2.59,"10,5",Cn1c(c(c(=O)n(c1=O)C)C(=O)CSc2c(nc3ccccc3n2)SCC(=O)c4c(n(c(=O)n(c4=O)C)C)N)N
ZINC03246579,Validated,Enamine‐REAL,3.68,"6,5",COc1cc(ccc1OS(=O)(=O)c2ccc(c(c2)F)F)C=O
ZINC00379555,Validated,ChemBridge,3.43,5,COc1ccc(cc1)S(=O)(=O)N(CC(=O)OC)c2ccccc2
ZINC03248157,Validated,Enamine,5.31,5,c1ccc2c(c1)CCN2S(=O)(=O)c3cccc(c3)C(=O)OCC(=O)Nc4ccc(c(c4F)F)F
ZINC12616401,Validated,Enamine,6.27,5,CC1(c2ccccc2N(C1=CC(=O)COC(=O)C(c3ccccc3)c4ccccc4)C)C
ZINC00087965,Validated,ChemBridge,5.17,5,c1cc(cc(c1)[N+](=O)[O-])c2nc(on2)CC3CCCCC3
ZINC03257631,Validated,Enamine,4.46,"10,5",Cc1ccc(cc1)S(=O)(=O)N(C)c2ccc(cc2)OCC(=O)N3CCN(CC3)c4ncccn4
ZINC03264205,Validated,Enamine,4.97,"6,5",C[C@H]1CCCN(C1)C(=O)COC(=O)COc2cc(c(cc2Cl)Cl)Cl
ZINC03264497,Validated,Enamine‐REAL,5.59,"6,5",COc1cc(cc(c1OC)OC)C(=O)COC(=O)CCCOc2ccc(cc2Cl)Cl
ZINC03270888,Validated,Enamine,0.61,"6,5",C[C@@H](COC)NC(=O)CCl
ZINC03272800,Validated,Enamine,1.56,2,Cc1c(c2ccccc2[nH]1)C3=CN4CCS(=O)(=O)N=C4S3
ZINC03273046,Validated,Enamine,4.38,5,Cc1c(c(no1)c2c(cccc2Cl)F)C(=O)OCC(=O)N3[C@@H](CCC[C@H]3C)C
ZINC05950541,Validated,Enamine,4.96,8,CC[C@H]1CS/C(=N/c2cccc(c2)C)/N1C(=O)CCN3C(=O)c4ccccc4C3=O
ZINC03287055,Validated,Enamine,4.92,"6,5",c1cc(cc(c1)CNC(=O)/C(=C/c2cc3c(cc2)OCO3)/C#N)CNC(=O)/C(=C/c4cc5c(cc4)OCO5)/C#N
ZINC03294668,Validated,Enamine,6.04,"10,5",CCc1cc2c(s1)nc(n(c2=O)CC=C)SCC(=O)N3C[C@]4(C[C@@H]3CC(C4)(C)C)C
ZINC03295804,Validated,Enamine,3.63,5,CCOC(=O)c1c([nH]c(c1C(=O)COC(=O)c2ccc(c(c2)S(=O)(=O)N3CCOCC3)F)C)C
ZINC03297362,Validated,Enamine,5.36,8,COc1cc(ccc1OC(F)F)/C=C/C(=O)Nc2ccc(cc2)N3CCCCC3
ZINC03299308,Validated,Enamine,3.61,"10,5",CC[C@@H]1CCCCN1C(=O)CSc2nc(cc(n2)C)C
ZINC03302230,Validated,Enamine,4.59,"10,5",Cn1c(c(c(=O)n(c1=O)C)C(=O)COC(=O)c2cc(ccc2OC)S(=O)(=O)N3CCCCCC3)N
ZINC12658225,Validated,Enamine,5.4,"10,5",c1ccc\2c(c1)CN(/C2=N/C(=O)/C(=C/c3ccc4c(c3)OCO4)/C#N)c5cccc(c5)[N+](=O)[O-]
ZINC03303526,Validated,Enamine,4.54,2,Cc1ccc(s1)C(=O)NCC(=O)O[C@H](c2ccccc2)C(=O)Nc3ccc(c(c3)Cl)OC
ZINC03307144,Validated,Enamine,1.14,2,CCN(CC)S(=O)(=O)c1ccc(cc1)C(=O)N2CCNC(=O)[C@H]2CC(=O)OC
ZINC00107756,Validated,Specs,1.48,"7,3",Cc1c(sc(n1)N)C(=O)OC
ZINC03314367,Validated,Enamine,4.47,"6,5",CCOC(=O)c1c(c(c([nH]1)C)C(=O)OCC(=O)N2CCc3c2cccc3)C
ZINC03315666,Validated,Enamine,6.8,"6,5",CCCCNC(=S)N(C)/N=C/c1ccc(c(c1)OC)OCc2ccc(cc2)Cl
ZINC03325954,Validated,Enamine,4.1,5,CCCN(CC1CC1)C(=S)Nc2cc(ccc2Cl)[N+](=O)[O-]
ZINC03328732,Validated,Enamine,4.63,"10,5",c1ccc2c(c1)c(cc(n2)c3ccccc3Cl)C(=O)N4C(=O)c5cccc(c5C4=O)N
ZINC03329891,Validated,Enamine,6.01,5,C[C@H]1Cc2ccccc2N1S(=O)(=O)c3cccc(c3)C(=O)OCc4cc(cc5c4OCOC5)[N+](=O)[O-]
ZINC03331703,Validated,Enamine,4.55,"10,5",Cc1ccccc1N2C(=O)c3ccc(cc3C2=O)C(=O)OCC(=O)c4c(n(c(=O)n(c4=O)C)C)N
ZINC00084666,Validated,ChemBridge,4.34,5,Cc1cc(ccc1NC(=S)NCCc2c[nH]c3c2cccc3)Cl
ZINC03333036,Validated,Enamine‐REAL,3.9,8,c1ccc(cc1)c2csc3c2c(ncn3)N4CCC[C@@H](C4)CO
ZINC03333428,Validated,Enamine,4.99,5,c1cc(ncc1C(=O)OCC(=O)N(C2CCCCC2)C3CCCCC3)Cl
ZINC03339325,Validated,Enamine,2.41,2,CC(=O)N1Cc2ccccc2C[C@H]1C(=O)OCc3ccc(cc3)C#N
ZINC03341032,Validated,Enamine,5.04,5,COc1cc2c3ccccc3oc2cc1NC(=O)COC(=O)c4cc(c(cc4[N+](=O)[O-])OC)OC
ZINC03341151,Validated,Enamine,5.87,5,Cc1ccc(c(c1)S(=O)(=O)N(C)c2ccc(cc2)OC(=O)c3ccc4c(c3)OCO4)C
ZINC03342785,Validated,Enamine,3.64,"6,5",c1cc(ccc1/C=C/C(=O)C(=C2SCS2)C(=O)N)Cl
ZINC03343997,Validated,Enamine,4.15,5,Cc1ccc(c(c1)n2c(nnn2)SCC(=O)Nc3cc(cc(c3)C(=O)N)C(=O)N)OC
ZINC08694104,Validated,Enamine‐REAL,3.9,5,CC(C)/[NH+]=C(\N1CCN(CC1)S(=O)(=O)c2cccc(c2)C(F)(F)F)/[S-]
ZINC08694104,Validated,Enamine‐REAL,3.9,5,CC(C)NC(=S)N1CCN(CC1)S(=O)(=O)c2cccc(c2)C(F)(F)F
ZINC03348666,Validated,Enamine,3.65,5,c1ccc2c(c1)C(=O)N(C2=O)CCOC(=O)[C@@H]3C[C@@H](CN3S(=O)(=O)c4ccc(cc4)Cl)O
ZINC03348865,Validated,Enamine,3.56,2,COC(=O)C(=O)C1=C(NC(=O)N[C@@H]1c2ccc(cc2)Cl)c3ccc(cc3)Cl
ZINC03349177,Validated,Enamine,4.33,5,c1cc(oc1)CN(Cc2cccs2)C(=O)Cn3cnnn3
ZINC03355897,Validated,Enamine,5.31,"10,5",CN(c1ccccc1)S(=O)(=O)c2ccc(cc2)C(=O)N3CCN(CC3)c4ccccc4Cl
ZINC03359154,Validated,Enamine,3.35,5,CCOC(=O)c1c(c(c([nH]1)C)C(=O)OCC(=O)N(C)[C@@H]2CCS(=O)(=O)C2)C
ZINC03359239,Validated,Enamine,4.53,5,CC(=O)c1ccc(cc1)c2ccc(o2)[C@@H]3[C@H](C(=C)NC(=S)N3)C(=O)OC(C)(C)C
ZINC03360361,Validated,Enamine,4.89,"10,5",Cn1c(c(c(=O)n(c1=O)C)C(=O)CSc2nnc(n2c3cccc(c3)C(F)(F)F)c4ccc(cc4)OC)N
ZINC00269602,Validated,ChemBridge,"2.00",5,CC(=O)NCCc1ccc(cc1)S(=O)(=O)N2CCOCC2
ZINC03361997,Validated,Enamine,4.95,5,CCN([C@@H]1CCS(=O)(=O)C1)C(=O)COC(=O)/C(=C/c2ccc(cc2)Cl)/c3ccc(cc3)F
ZINC03369081,Validated,Enamine‐REAL,3.83,"6,5",Cc1ccc(c(c1)C)NC(=O)COC(=O)/C(=C/c2cccs2)/c3cccs3
ZINC03372338,Validated,Enamine,3.37,2,CN(C)S(=O)(=O)c1cccc(c1)Cn2c3cc(ccc3n(c(=O)c2=O)Cc4ccccc4)Cl
ZINC03378626,Validated,Enamine,4.69,"10,5",COC(=O)CCNc1c2c3c(sc2nc(n1)c4cccnc4)CCCC3
ZINC03379013,Validated,Enamine,4.43,"6,5",CCCn1c(nnc1SCc2cc(=O)n3cc(ccc3n2)Br)c4cccc(c4)C
ZINC03380609,Validated,Enamine,4.21,2,C[C@@H](C(=O)OCC(=O)/C=C/1\C(c2ccccc2N1C)(C)C)NC3=NS(=O)(=O)c4c3cccc4
ZINC03391291,Validated,Enamine,4.98,"10,5",CCOc1cc(cc(c1OCC(=O)N)Br)/C=N/n2cnc3c(c2=O)c(c(s3)C)C
ZINC03392958,Validated,Enamine‐REAL,2.17,10,Cn1c(c(c(=O)n(c1=O)C)C(=O)COC(=O)C2CC2)N
ZINC03393286,Validated,Enamine‐REAL,4.09,5,c1ccc2c(c1)cc3ccccc3c2C(=O)OCC(=O)N4CCCC4
ZINC01095206,Validated,ChemBridge,5.65,5,c1cc(cc(c1)N/C=C/C(=O)c2ccc(cc2)Br)C(F)(F)F
ZINC00194740,Validated,ChemDiv,3.67,10,C1(=C(NC(=C(C1c1occc1)C(=O)OC)C)C)C(=O)OCC
ZINC03398050,Validated,Enamine,5.08,2,c1cc(ccc1/C=C/C(=O)OCC(=O)Nc2cc(ccc2N3CCOCC3)C(F)(F)F)F
ZINC03400420,Validated,Enamine,5.39,5,N1(C2=C(N(C)N(C2=O)c2ccccc2)C)C(=C(C(=O)COC(=O)C2=C(c3c(cccc3)O2)COC(C)C)C=C1C)C
ZINC00309276,Validated,ChemBridge,3.28,5,c1ccc2c(c1)OC[C@H](O2)C(=O)Nc3ccc4c(c3)OCO4
ZINC03406061,Validated,Ambinter,4.24,5,COc1ccc(cc1)c2nnc(n2N)SCc3cc(=O)oc4c3c5ccccc5cc4
ZINC03408794,Validated,Enamine,5.21,"10,5",Cn1c(c(c(=O)n(c1=O)C)C(=O)CSc2nc3c(c4c(s3)CCC4)c(=O)n2Cc5ccccc5)N
ZINC01145594,Validated,ChemBridge,4.32,5,CS(=O)(=O)N(CC(=O)Nc1ccccc1C(=O)NCc2ccco2)c3ccc(cc3)Cl
ZINC06909379,Validated,Enamine,3.17,2,CCOC(/C=c(n(CC(N(C)C)=O)c2=O)/[S]/c2=C/c1c(F)cccc1F)=O
ZINC02172513,Validated,ChemBridge,6.01,"7,3",C[C@@]12CC[C@@](C1(C)C)(c3c2nc4ccccc4n3)C(=O)Nc5ccccc5C(F)(F)F
ZINC16043969,Validated,Enamine,4.38,5,Cc1cc(c(n1Cc2ccc3c(c2)OCO3)C)C(=O)CN4C(=O)[C@H]5CC=CC[C@@H]5C4=O
ZINC03424333,Validated,Enamine‐REAL,5.2,"6,5",Cc1cc(c(n1c2cc(on2)C)C)C(=O)COC(=O)/C=C/c3cccc(c3)OC
ZINC03426151,Validated,Enamine,3.81,"10,5",Cc1cccc(c1)n2c(nnc2S[C@@H](C)C(=O)N)c3cccc(c3)S(=O)(=O)N(C)C
ZINC03428301,Validated,Enamine,4.27,5,COc1cc(cc(c1OC)OC)/C=C/C(=O)N[C@H]2CCCc3c2cccc3
ZINC03430391,Validated,Enamine,5.53,5,C[C@H]1CN(/C(=N/c2ccc(cc2)Cl)/S1)C(=O)c3csc4c3CCCC4
ZINC03432297,Validated,Enamine‐REAL,4.2,5,COc1cc2c(cc1OC)CN(CC2)C(=O)c3cccc(c3)S(=O)(=O)N4CCCCC4
ZINC03433862,Validated,Enamine,3.32,2,COc1ccc(cc1)N(CC(=O)N[C@@H]2CCS(=O)(=O)C2)S(=O)(=O)c3ccc(c(c3)Cl)Cl
ZINC00088004,Validated,ChemDiv,4.22,10,CC1=NC(=C([C@H](C1C(=O)OC)c2cccc(c2)Cl)C(=O)OC)C
ZINC03435204,Validated,Enamine,2.12,"7,3",CC(C)[C@H](C(=O)NC(=O)N)Sc1nnc(n1C)C(F)(F)F
ZINC03435356,Validated,Enamine‐REAL,4.09,2,CC(C)N(Cc1nnc(o1)c2ccc(cc2)Cl)C(=O)[C@@H]3COc4ccccc4O3
ZINC00386075,Validated,ChemBridge,4.15,5,COc1ccc(cc1)C(=O)CSc2nnc(o2)c3ccccc3
ZINC03439551,Validated,Enamine,0.82,"10,5",Cc1cc(n2c(n1)nc(n2)SCC(=O)NCCNC(=O)CSc3nc4nc(cc(n4n3)C)C)C
ZINC03439641,Validated,Enamine,4.71,"10,5",Cn1c(=O)c(c(n(c1=O)Cc2ccccc2)N)C(=O)CN3CCSc4c3cccc4
ZINC03442520,Validated,Enamine‐REAL,4.28,5,COc1ccc(cc1[N+](=O)[O-])C(=O)OCC(=O)NC2CCCCCCC2
ZINC03442590,Validated,Enamine,4.43,5,c1c2c(cc3c1c(co3)CC(=O)O[C@H]4CCCCC4=O)CCC2
ZINC03443597,Validated,Enamine,3.52,"6,5",c1ccc2c(c1)C(=NS2(=O)=O)NCCCC(=O)OCc3cc(cc4c3OCOC4)[N+](=O)[O-]
ZINC03445303,Validated,Enamine,4.49,5,CCN(CC)S(=O)(=O)c1ccc2c(c1)n(nn2)OCC(=O)NC(c3ccccc3)c4ccccc4
ZINC03446865,Validated,Enamine‐REAL,2.26,2,CC(=CC(=O)OCC(=O)Nc1ccc(cc1)S(=O)(=O)N(C)C)C
ZINC03451147,Validated,Enamine,3.2,2,Cc1c(cccc1n2cnnn2)NC(=O)CC(c3ccccc3)c4ccccc4
ZINC03452528,Validated,Enamine‐REAL,3.63,8,Cc1c(c(=O)n(n1C)c2ccccc2)NC(=O)COC(=O)c3cccnc3SC
ZINC03454322,Validated,Enamine,3.55,7,Cc1ccc(cc1NC(=O)c2ccco2)C(=O)N3C(=O)c4cccc(c4C3=O)N
ZINC03437972,Validated,Enamine‐REAL,3.78,5,CC(C)NC(=O)COC(=O)c1ccc(cc1)S(=O)(=O)N2CCCCCC2
ZINC03462024,Validated,Enamine,4.37,8,CC(=O)N(c1ccccc1)c2nc(cs2)/C=C/C(=O)Nc3ccc4c(c3)OCO4
ZINC03462074,Validated,Enamine‐REAL,3.57,5,CC(=O)Nc1cccc(c1)C(=O)OCC(=O)c2c(n(c(=O)n(c2=O)C)C)N
ZINC00177764,Validated,ChemBridge,4.04,5,COc1cccc(c1)C(=O)N2CCC[C@@H](C2)c3ccccc3
ZINC03466055,Validated,Enamine,4.49,"7,3",C[C@@H]1CCC[C@H](N1C(=O)CSc2nnc(n2Cc3ccccc3)c4ccco4)C
ZINC03467496,Validated,Enamine,2.18,2,Cc1cc(n2c(n1)nc(n2)S[C@@H](C)C(=O)NCC(=O)Nc3ccc(c(c3F)F)F)C
ZINC03467655,Validated,Enamine,2.27,5,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)Cn3cc(cc(c3=O)Cl)C(F)(F)F
ZINC03468009,Validated,Enamine,3.81,5,COc1cccc(c1)NC(=O)[C@@H](c2ccccc2)OC(=O)C3=COCCO3
ZINC01144444,Validated,ChemBridge,4.83,"7,3",CCOC(=O)c1ccc(cc1)CNC(=O)CSc2nc3c(c(c(s3)C)C)c(=O)n2CC=C
ZINC03477306,Validated,Enamine‐REAL,4.92,"6,5",c1ccc2c(c1)c(=O)n(c(n2)SCC(=O)NC3CCCCC3)c4ccc(cc4)Cl
ZINC03477387,Validated,Enamine,3.41,2,Cc1cccc(c1NC(=O)CNC(=O)C2CCN(CC2)S(=O)(=O)c3cccc(c3Cl)Cl)C
ZINC03483149,Validated,Enamine‐REAL,4.73,5,Cc1c(c([nH]c1C(=O)COC(=O)c2ccccc2NC(=O)c3ccco3)C)C(=O)C
ZINC03493467,Validated,Enamine,4.52,5,C[C@H](C(=O)NCC(=O)Nc1ccc(c(c1F)F)F)Sc2nnnn2c3ccc(cc3)Cl
ZINC03495716,Validated,Enamine‐REAL,4.3,10,Cc1ccc(o1)/C=C/C(=O)N2CCN(CC2)c3ccc(cc3)C(=O)C
ZINC00294824,Validated,ChemBridge,4.4,5,COc1ccc(cc1)C(=O)/C=C/C=C(Cl)Cl
ZINC03505923,Validated,Enamine,3.6,5,CCC(CC)NC(=O)c1ccc(c(c1)S(=O)(=O)N2CCCC2)Cl
ZINC03506974,Validated,Enamine,4.21,"7,3",Cn1c(nnc1SCC(=O)NC2CCCCCC2)c3ccc(cc3)Cl
ZINC03514660,Validated,Enamine‐REAL,4.63,5,C[C@@H](C(=O)NCc1ccc2c(c1)OCO2)Sc3nc4ccccc4c(=O)n3c5ccc(cc5)F
ZINC01080980,Validated,ChemBridge,3.93,5,CCOC(=O)C1=C(NC(=O)C[C@@H]1c2cc(c(cc2Br)OC)OC)C
ZINC03525006,Validated,Enamine‐REAL,4.78,5,Cc1ccc(cc1NC(=O)Cc2coc3c2cc4c(c3)CCC4)C(=O)OC
ZINC03226116,Validated,Enamine,4.34,5,CCN(CC)S(=O)(=O)c1ccc(cc1)/C=C/C(=O)NC2CCCCC2
ZINC01934341,Validated,Enamine,3.18,5,c1ccc(cc1)NC(=O)COC(=O)c2ccccc2F
ZINC03531368,Validated,Enamine‐REAL,4.09,8,CCCCNc1ccccc1C(=O)OCC(=O)N[C@@H]2CCS(=O)(=O)C2
ZINC06506520,Validated,Enamine‐REAL,3.45,"10,5",Cc1cc(c(n1CCOC)C)C(=O)CSc2nnc3n2c4ccccc4[nH]3
ZINC03533062,Validated,Enamine‐REAL,2.57,"6,5",c1ccc(c(c1)C(=O)OCC#N)SCC(=O)N2CCCC2
ZINC00753220,Validated,ChemBridge,3.66,5,COC(=O)c1ccc(c(c1)S(=O)(=O)N2CCCCC2)Br
ZINC03534461,Validated,Enamine‐REAL,2.09,"10,5",CCOc1ccc(cc1OCC)NC(=O)CN(C)C(=O)c2ccc(o2)C
ZINC00718732,Validated,ChemBridge,4.48,"7,3",Cc1ccc(cc1F)NC(=O)CSc2nnc(n2CC=C)c3cccs3
ZINC03536278,Validated,Ambinter,4.85,5,c1ccc(cc1)c2ccccc2NC(=O)CSc3nnc(n3N)c4ccc(cc4)OC(F)F
ZINC03537495,Validated,Enamine‐REAL,4.73,"10,5",C[C@@H](c1ccccc1)NC(=O)CSc2c3cnn(c3ncn2)c4ccccc4
ZINC03538275,Validated,Enamine,4.34,5,CCOC(=O)N1CCN(CC1)C(=O)/C=C/c2ccc(c(c2)Cl)Cl
ZINC03542431,Validated,ChemBridge,3.68,10,C[C@H]1C[C@@H](CN(C1)C(=O)CSc2nnc(n2C)c3ccccc3)C
ZINC03542779,Validated,Enamine‐REAL,3.56,2,COc1cccc(c1)n2c(=O)c3ccccc3nc2SCc4cc(=O)n5ccsc5n4
ZINC03545241,Validated,Enamine,4.35,"7,3",CCc1ccccc1Nc2nc(nc(n2)N)CSc3nnc(n3N)c4ccc(cc4)OC(F)F
ZINC03548479,Validated,ChemBridge,3.64,5,COc1ccc(cc1S(=O)(=O)N2CCOCC2)C(=O)Nc3cccc(c3)F
ZINC03549977,Validated,Enamine,3.62,5,CCCCN1C(=O)c2ccc(cc2C1=O)C(=O)OCC(=O)N[C@H](C)C(C)C
ZINC03552280,Validated,Enamine,4.77,5,CCCCOc1ccc(cc1OC)C(=O)Oc2ccc3c(c2)OCO3
ZINC03554415,Validated,Enamine,4.01,5,Cc1ccc(cc1)CNC(=O)C2CCN(CC2)S(=O)(=O)c3ccc4c(c3)OCCCO4
ZINC03556440,Validated,Enamine‐REAL,3.4,"10,5",CCN(c1ccccc1)C(=O)[C@@H](C)OC(=O)c2cc(c(c(c2)OC)OC)OC
ZINC03409607,Validated,Enamine‐REAL,3.38,"7,3",C[C@H](C(=O)N)Sc1nnc(n1c2ccccc2)c3ccc(cc3)F
ZINC03557230,Validated,Enamine,4.47,5,c1ccc2cc(ccc2c1)OCC(=O)N3CCN(CC3)S(=O)(=O)c4ccc5c(c4)OCCO5
ZINC03560235,Validated,Enamine,3.28,2,Cc1ccc(cc1[N+](=O)[O-])C(=O)NCCc2ccc3c(c2)OCCO3
ZINC00527717,Validated,ChemBridge,4.77,5,C[C@H](C(=O)Nc1ccc(cc1)OC(F)(F)F)Oc2ccccc2
ZINC03562644,Validated,Ambinter,4.64,5,CCOc1ccc(cc1)n2c(=O)c3c4c(sc3nc2SCC(=O)NC5CC5)CCC4
ZINC03105259,Validated,ChemBridge,"2.00",5,COCCCNC(=O)c1ccccc1C(F)(F)F
ZINC03563653,Validated,Enamine‐REAL,4.17,5,c1ccc2c(c1)c(=O)n(c(n2)SCC#N)c3ccc(cc3)OC(F)F
ZINC03564262,Validated,Enamine‐REAL,2.78,5,Cc1c(c(on1)C)C(=O)O[C@@H](C)C(=O)Nc2ccc3c(c2)OCCO3
ZINC03263073,Validated,Enamine,4.45,5,CC(=O)c1ccc(c(c1)COC(=O)c2cc(ccc2Cl)Cl)OC
ZINC03573232,Validated,Enamine‐REAL,4.41,10,Cc1cc(c(c(c1)C)NC(=O)CSc2nnc(n2N)c3ccc(cc3)OC(F)F)C
ZINC00940909,Validated,ChemBridge,3.39,5,COC(=O)c1cccc(c1)NC(=O)CCN2C(=O)c3ccccc3C2=O
ZINC03575851,Validated,Enamine,3.11,"6,5",C[C@H]1CCCC[C@@H]1NC(=O)COc2c3ccccc3ncn2
ZINC03575938,Validated,Enamine,2.48,5,C[C@@H]1CCCC[C@H]1NC(=O)COC(=O)C2=COCCO2
ZINC01049264,Validated,ChemBridge,5.14,5,CN(Cc1ccccc1)S(=O)(=O)c2ccc(cc2)NC(=O)Cc3ccc(cc3)F
ZINC00848943,Validated,Specs,4.26,5,CN(c1ccc(cc1)OC(=O)c2ccccc2)C3=NS(=O)(=O)c4c3cccc4
ZINC03587776,Validated,Enamine‐REAL,3.82,5,Cc1c(c([nH]c1C(=O)COC(=O)c2cc(cc(c2)[N+](=O)[O-])C(=O)OC)C)C(=O)C
ZINC03587920,Validated,Enamine,4.09,"7,3",CC(C)N(C(C)C)C(=O)CSc1nnc(s1)NCc2ccccc2
ZINC03059500,Validated,ChemDiv,4.32,5,c1ccc(cc1)/C=C\2/C(=O)Nc3cc(ccc3S2)C(=O)NC4CC4
ZINC01049570,Validated,ChemBridge,5.48,5,COc1ccc(cc1Cl)S(=O)(=O)N(CC(=O)Nc2cccc(c2)[N+](=O)[O-])C3CCCCC3
ZINC03590540,Validated,Enamine,3.79,"7,3",c1ccc(cc1)CCn2c(nnc2SCC(=O)N3CCOCC3)c4ccccc4F
ZINC00093288,Validated,ChemBridge,5.09,5,CCOC(=O)c1ccc(cc1)NCc2c(c([nH]c2C)C(=O)OCC)C
ZINC00540009,Validated,ChemBridge,4.17,10,c1nc(c2c3c(sc2n1)CCCC3)NC4CCCC4
ZINC03599705,Validated,Ambinter,4.55,10,CCC[C@@H](C)NC(=O)COc1c2c3c(sc2ncn1)C[C@@H](CC3)C
ZINC00780911,Validated,Enamine,4.69,"7,3",c1cc(ccc1NC(=O)CSc2c3c4c(sc3ncn2)CCC4)F
ZINC00691906,Validated,ChemBridge,2.69,"7,3",Cc1cc(ccc1NC(=O)CSc2nnc(s2)N)Br
ZINC03606457,Validated,Enamine,4.77,5,Cc1cc(c(n1c2ccc(cc2)C(=O)OC)C)C(=O)COc3cccc(c3)n4cnnn4
ZINC03614139,Validated,Enamine‐REAL,2.98,2,Cc1ccc(cc1)OCCC(=O)N2CCN(CC2)S(=O)(=O)c3cccs3
ZINC03614715,Validated,Vitas‐M,3.76,2,CN([C@@H](c1ccc(cc1)OC)C(=O)Nc2ccc3c(c2)OCCO3)C(=O)Cc4c[nH]c5c4cccc5
ZINC03615275,Validated,Ambinter,4.48,10,CN(C)S(=O)(=O)c1cccc(c1)C(=O)NCCc2ccc(cc2Cl)Cl
ZINC03620303,Validated,ChemDiv,4.45,"7,3",Cc1cc2ccccc2c(=O)n1CC(=O)NCC(=O)N3CCN(CC3)c4cccc(c4)Cl
ZINC03620479,Validated,Enamine‐REAL,4.22,2,c1cc(cc(c1)S(=O)(=O)N2CCCC2)C(=O)OCc3c(cccc3Cl)F
ZINC00717796,Validated,ChemDiv,4.42,10,Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N3CCCCCC3)CC(=O)c4ccc(cc4)OC
ZINC03621212,Validated,Enamine,4.46,5,COc1cc(ccc1OC(=O)/C=C/c2cccc(c2)F)C#N
ZINC03621394,Validated,ChemDiv,3.66,5,CN1[C@H]([C@@H](c2cc(c(cc2C1=O)OC)OC)C(=O)Nc3ccc(cc3F)F)c4ccc(c(c4)OC)OC
ZINC03624168,Validated,ChemDiv,4.88,10,COc1ccc(cc1OC)NC(=O)c2c(c3c(c(sc3s2)C(=O)Nc4ccc(c(c4)OC)OC)N)N
ZINC03639569,Validated,Vitas‐M,4.45,10,CC1=C([C@H](C2=C(N1)C[C@H](CC2=O)c3cccs3)c4ccc(c(c4)OC)OC)C(=O)OCCOC(C)C
ZINC09553985,Validated,Chemical Block,5.23,"10,5",Cc1ccc2c(c1)c(=O)c(co2)[C@H]3C4=C(C[C@@H](CC4=O)c5cccc(c5)OC)NC(=C3C(=O)OCCOC)C
ZINC03640152,Validated,Vitas‐M,5.24,10,CCSCCOC(=O)C1=C(NC2=C([C@@H]1c3ccc(cc3)C(=O)OC)C(=O)C[C@H](C2)c4cccs4)C
ZINC03646242,Validated,Enamine,4.89,5,CCc1c(c(nc2c1C(=O)CC(C2)(C)C)SCC(=O)N3CCc4cc(c(cc4C3)OC)OC)C#N
ZINC02617458,Validated,Enamine,4.27,5,CN(C)S(=O)(=O)c1ccc(cc1)C(=O)OC2CCCCC2
ZINC06761428,Validated,Vitas‐M,3.64,5,CC(=O)Nc1ccc(cc1)/N=C/c2c(c3ccccc3oc2=O)[O-]
ZINC03661324,Validated,ChemDiv,5.01,5,COc1ccc(cc1)[C@@H]2[C@@H](c3ccccc3C(=O)N2Cc4ccc(cc4)F)C(=O)N5CCCCCC5
ZINC01024189,Validated,Specs,4.75,"6,5",Cc1cccc(c1)NC(=O)C[C@H]2C(=O)N(/C(=N/c3c(cccc3C)C)/S2)C
ZINC00145605,Validated,ChemBridge,4.73,5,CCOc1ccccc1OCC(=O)Nc2ccc3ccccc3c2
ZINC02908623,Validated,ChemDiv,4.33,5,CCOc1ccc(cc1)NC(=O)CSc2nc3ccsc3c(=O)n2c4ccccc4
ZINC03672564,Validated,ChemBridge,3.61,5,c1cc(ccc1C(C#CCO)(c2ccc(cc2)F)O)F
ZINC03672819,Validated,Vitas‐M,5.8,10,CC/N=C\1/N(C(=O)/C(=C/c2cn(c3c2cccc3)CC(=O)Nc4cccc(c4)C)/S1)CC
ZINC03766933,Validated,Specs,3.29,"10,5",c1ccc2c(c1)nc(n2C[C@@H](CO)O)SCCSc3nc4ccccc4n3C[C@@H](CO)O
ZINC00404391,Validated,Vitas‐M,1.87,5,CCOC(=O)c1ccc(cc1)C#N
